Restaurant_ID,Restaurant_Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
2,2 Bros Kitchen,1,Noida,"Plot 14, C-98, Sector 41, Noida",Sector 41,"Sector 41, Noida",77.36176707,28.56952163,"North Indian, Chinese, Fast Food",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,364
3,221 B Baker Street,1,Noida,"10, Brahmaputra Shoping Complex, Sector 29, Noida",Brahmaputra Shopping Complex,"Brahmaputra Shopping Complex, Noida",77.3326668,28.5703556,Bakery,200,Indian Rupees(Rs.),No,Yes,No,No,1,3.5,Yellow,Good,94
4,221 B Baker Street,1,Noida,"21, Jalvayu Vihar Market, Sector 25, Noida",Sector 25,"Sector 25, Noida",77.3379464,28.5843762,Bakery,350,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average,102
5,221 B Baker Street,1,Noida,"PG 30, TOT Mall, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.3716062,28.6142808,Bakery,200,Indian Rupees(Rs.),No,Yes,No,No,1,3.2,Orange,Average,19
6,27 Grills,1,Noida,"Shop 27, D Block Market, Sector 27, Noida",Sector 27,"Sector 27, Noida",77.32838832,28.57445006,"North Indian, Chinese, Mughlai",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.3,Orange,Average,159
7,44 Grills,1,Noida,"Street 3, Sector 44, Noida",Sector 44,"Sector 44, Noida",77.339363,28.554041,"North Indian, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,0,White,Not rated,0
8,4U,1,Noida,"Amrapali Princely Estate, Sector 76, Near Sector 72, Noida",Sector 72,"Sector 72, Noida",77.3813897,28.5659688,"North Indian, South Indian, Chinese",250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
9,52 Food Express,1,Noida,"B Block Market, Sector 52, Noida",Sector 52,"Sector 52, Noida",77.3681073,28.5864134,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
10,6 Packs Momos,1,Noida,"Spice World Mall, Sector 25, Noida","Spice World Mall, Sector 25","Spice World Mall, Sector 25, Noida",77.3406022,28.586,Chinese,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
11,A1 Restaurant,1,Noida,"Khoda Colony, Deepak Vihar, Sector 58, Noida",Sector 58,"Sector 58, Noida",77.3533487,28.6101016,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
12,Aadhya Bakery & Foods,1,Noida,"Shop 7, Singhal Residency, Arya Nagar, Sector 73, Near Sector 72, Noida",Sector 72,"Sector 72, Noida",77.3803972,28.5891989,"Bakery, North Indian",250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
13,Aamantran Bangla,1,Noida,"Sector 51, Noida",Sector 51,"Sector 51, Noida",77.3670311,28.5780783,"Bengali, North Indian",650,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average,27
14,AB Fast N Food,1,Noida,"2, Main Market, Opposite Easy Day Supermarket, Sector 44, Noida",Sector 44,"Sector 44, Noida",77.3374886,28.5546617,Fast Food,200,Indian Rupees(Rs.),No,Yes,No,No,1,2.7,Orange,Average,6
15,Adarsh Kulfi,1,Noida,"Food Court, Spice World Mall, Sector 25, Noida","Spice World Mall, Sector 25","Spice World Mall, Sector 25, Noida",77.3404494,28.5854737,Ice Cream,100,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,7
16,Adarsh Kulfi,1,Noida,"Food Court, Ground Floor, Supertech Shoprix Mall, Sector 61, Noida","Supertech Shopprix Mall, Sector 61","Supertech Shopprix Mall, Sector 61, Noida",77.3648332,28.5971027,Ice Cream,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
17,Adhikari Fast Food Corner,1,Noida,"Shop 3, Near Samvedana Hospital, Sector 48, Noida",Sector 48,"Sector 48, Noida",77.3678917,28.5572741,"Chinese, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,5
18,Affamato,1,Noida,"Shop 6, Sunshine Helios, Sector 78, Near, Sector 110, Noida",Sector 110,"Sector 110, Noida",0,0,"Italian, Pizza",400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
19,Aggarwal,1,Noida,"B-1/3, Near Sector 18 Metro Station, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.32593108,28.57081133,"South Indian, Chinese, Street Food, Mithai",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average,61
20,Aggarwal Bikaneri Sweets & Restaurant,1,Noida,"Rajiv Vihar, Khora Village, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.35487667,28.61550833,"Street Food, Mithai",100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
